objectid,parentid,filename,videoid,title,date,description,format,language,location,latitude,longitude,source,source_link,type,rights,display_template,object_path,image_small,image_thumb,image_alt_text,object_transcript
ecom001,,,https://youtu.be/rh3Mr149wsI,Building a Tlingit Place-Names App,2025,Video entry for the 2025 SSHRC storyteller challenge,video,eng; tli,"Atlin, BC",,,,,Video,,video,,,,,
ecom002,,,,The Tlingit Language and Land App,,"A collaborative project with the Taku River Tlingit First Nation Land Guardians where we are building a mobile place names app that can be used out on the land, without wi-fi or cell service.",,eng; tli,"Atlin, BC",,,,,,,compound-object,,,,,
ecom002-TlingitApp1,ecom002,,https://youtu.be/7PArJvwwPPo,The Tlingit place names app - Canoe Journey prototype (no sound),2024,"Video walk-through of the Canoe Journey prototype of the Tlingit place names app, recorded on an Android smartphone (2024)",video,eng; tli,"Kaxwéix̱ X'áat'i (Cranberry Island), BC",,,,,Video,,video,,,,,
ecom002-TlingitApp2,ecom002,,,Tlingit Placenames - Demo Site,2023,"Collection Builder demo project, completed as part of the c/b course at DHSI 2023",text,eng; tli,"Victoria, BC",,,Skyefree (GitHub),https://skyefree.github.io/dhsi-csv-demo-trt/,Link,,text,,,,,
ecom003,,,,CASCA 2024 virtual conference space,2024,Gather.town virtual conference space for CASCA 2024,,eng; fr,"Kelowna, BC",,,,,,,compound-object,,,,,
ecom003-CASCA1,ecom003,,https://youtu.be/XvUaKTma97M,CASCA 2024 virtual conference space walk-through,2024,"Tour of the CASCA 2024 virtual conference space (Gather.town), English",video,eng,"Kelowna, BC",,,,,Video,,video,,,,,
ecom003-CASCA2,ecom003,,https://youtu.be/wHX-A6YtPms,Visite de l'espace virtuel de la conférence CASCA 2024,2024,"Visite de l'espace virtuel de la conférence CASCA 2024 (Gather), Français",video,fr,"Kelowna, BC",,,,,Video,,video,,,,,
ecom003-CASCA3,ecom003,casca_gather_courtyard.jpg,,CASCA 2024 Gather space main courtyard,2024,Screenshot of the CASCA 2024 Gather space main courtyard,image/jpg,eng,"Kelowna, BC",,,,,Image;StillImage,,image,/objects/casca_gather_courtyard.jpg,,,,
ecom004,,icos2024_ou_draft.pdf,,Supporting land stewardship and language revitalization through the Tlingit Language and Land App,2025,"Proceedings paper from ICOS 2024, to be published in Onomastica Uralica in 2025",application/pdf,eng; tli,"Helsinki, FI",,,Onomastica Uralica,https://mnytud.arts.unideb.hu/onomural/nyitolapa.html,PDF,,pdf,/objects/icos2024_ou_draft.pdf,,,,
ecom005,,,,Na'vi annotated landscape,2022,Term project for the Digital Arts and Humanities Methods course (IGS 501) at UBC Okanagan,,eng; navi,,,,Skyefree (GitHub),https://github.com/skyefree/navi_landscape_annotated,,,compound-object,,,,,
ecom005-navi1,ecom005,navi1.jpg,,Na'vi annotated landscape in progress,2022,Screenshot from the development of the Na'vi annotated landscape project,image/jpg,eng; navi,,,,Skyefree (GitHub),https://github.com/skyefree/navi_landscape_annotated,Image;StillImage,,image,/objects/navi1.jpg,,,,
ecom005-navi2,ecom005,navi2.jpg,,Na'vi annotated landscape - Iknimaya,2022,"Screenshot from the final Na'vi annotated landscape project, with the annotation for Iknimaya selected",image/jpg,eng; navi,,,,Skyefree (GitHub),https://github.com/skyefree/navi_landscape_annotated,Image;StillImage,,image,/objects/navi2.jpg,,,,
ecom006,,,,Indigenous Literacies: Defining and Contextualizing Literacy in ILR,2019,Presented at the ICLDC 6 conference in 2019,,eng,"Mānoa, HI",,,UHawaii Scholar Space,https://scholarspace.manoa.hawaii.edu/items/16871033-ef38-4f9c-816e-3ae086c36eee,,,compound-object,,,,,
ecom006-ICLDC6-1,ecom006,icldc6_recording.mp3,,Indigenous Literacies: Defining and Contextualizing Literacy in ILR,2019,Audio recording from ICLDC 6 presentation,audio/mp3,eng,"Mānoa, HI",,,UHawaii Scholar Space,https://scholarspace.manoa.hawaii.edu/items/16871033-ef38-4f9c-816e-3ae086c36eee,Sound,,audio,/objects/icldc6_recording.mp3,,,,
ecom006-ICLDC6-2,ecom006,icldc6_slides.pdf,,Indigenous Literacies: Defining and Contextualizing Literacy in ILR,2019,Slideshow from ICLDC 6 presentation,application/pdf,eng,"Mānoa, HI",,,UHawaii Scholar Space,https://scholarspace.manoa.hawaii.edu/items/16871033-ef38-4f9c-816e-3ae086c36eee,PDF,,pdf,/objects/icldc6_slides.pdf,,,,
ecom007,,cedar_project.mp3,,"Memories and music among the Ravens – Reminiscing about our time on S,ḴŦAḴ",2023,Project completed as part of CEDaR audio training at UBC Vancouver,audio/mp3,eng; str,"S,ḴŦAḴ (Mayne Island), BC",,,CEDaR Space UBC,,Sound,,audio,/objects/cedar_project.mp3,,,,
ecom008,,dhq17_1_2023.pdf,,"The Project Endings Interviews: A Summary of Methodological
Foundations",2023,DHQ article,application/pdf,eng,,,,Digital Humanities Quarterly,https://www.digitalhumanities.org/dhq/vol/17/1/000661/000661.html,PDF,,pdf,/objects/dhq17_1_2023.pdf,,,,
ecom009,,ecomeau_thesis_2018.pdf,,Literacy and Language Revitalization: Leaving a Visible Trace,2018,Thesis submitted in fulfillment of a Master of Arts degree in Linguistics (UVic),application/pdf,eng,"Victoria, BC",,,UVicSpace Institutional Repository,http://hdl.handle.net/1828/9421,PDF,,pdf,/objects/ecomeau_thesis_2018.pdf,,,,
ecom010,,,,Reclaiming Language and Land in Indigenous Digital Landscapes,2023,Presented at the ICLDC 8 conference in 2023 (virtual),,eng; tli,"Mānoa, HI",,,ICLDC 8,https://ling.lll.hawaii.edu/sites/icldc/icldc-8/,,,compound-object,,,,,
ecom010-ICLDC8-1,ecom010,icldc8_slides.pdf,,Reclaiming Language and Land in Indigenous Digital Landscapes,2023,Slideshow from ICLDC 8 presentation,application/pdf,eng; tli,"Mānoa, HI",,,,,PDF,,pdf,/objects/icldc8_slides.pdf,,,,
ecom010-ICLDC8-2,ecom010,,https://youtu.be/5ImL8KW_Dt8,Reclaiming Language and Land in Indigenous Digital Landscapes,2023,Video recording from ICLDC 8 presentation,video,eng; tli,"Mānoa, HI",,,,,Video,,video,,,,,